state,Zip,postings_seen
SC,29065,50
MD,21741,50
TX,79916,50
CA,96001,50
NY,12309,50
HI,96793,50
KY,41042,49
MN,55144,49
WI,53529,49
IL,62040,49
KS,66442,49
OH,45201,49
CO,80241,49
VA,22209,49
ID,83864,49
MO,63032,49
GA,30301,49
IA,50392,49
IA,51502,49
IA,52655,49
NJ,07011,49
CA,94802,48
TN,37311,48
PA,17331,48
MI,48602,48
IL,60606,48
MN,55433,48
MA,01887,48
IA,50613,48
NC,28407,48
SD,57006,48
CA,91346,48
PA,15233,48
CA,91752,48
WI,53072,48
FL,33066,48
OH,44646,48
WA,98037,48
NJ,07430,48
IL,61204,48
MD,20752,48
MD,20741,48
CA,91392,48
WI,53913,47
OH,43512,47
OK,73705,47
NC,28144,47
SD,57501,47
CA,91009,47
NY,12307,47
ME,04530,47
MD,20720,47
NJ,08869,47
WV,26504,47
LA,70063,47
WI,54751,47
NJ,07733,47
UT,84074,47
FL,32579,47
CA,94662,47
NJ,07094,46
CO,80401,46
MN,55362,46
TX,77375,46
PA,18603,46
CA,92656,46
CA,94546,46
OH,44139,46
OK,73145,46
MO,65473,46
NY,12552,46
UT,84337,46
IL,60077,46
UT,84065,46
TX,76262,46
CA,95687,46
OK,73071,46
CA,95377,46
CA,91910,46
CT,06096,46
VA,22604,45
AR,72758,45
CA,93555,45
NY,11415,45
NJ,07938,45
WI,54729,45
CA,95655,45
SC,29151,45
WI,54304,45
WI,54302-2643,45
PA,17201,45
TX,78232,45
MN,55343,45
CA,93117,45
CO,80701,45
GA,30281,45
WI,53224,45
IN,47901,45
NJ,08723,45
FL,32795,45
WI,53188-1177,45
TX,78666,45
OH,44105,45
MA,02021,45
OH,44512,45
MI,48858,45
PA,15224,45
NJ,08234,44
CA,93003,44
NY,11501,44
PA,19312,44
CA,95076,44
NJ,08016,44
RI,02804,44
NJ,07104,44
TX,77491,44
IN,47522,44
MO,63042,44
TX,78501,44
NY,11803,44
CT,06050,44
UT,84058,44
CT,06830,44
OH,45177,44
OK,74075,44
WI,53097,44
NY,13045,44
WA,98496,44
MS,39567,44
MD,20705,44
TN,37681,43
TX,77536,43
NC,27896,43
TX,77640,43
FL,34747,43
NJ,07080,43
ME,04101,43
GA,30004,43
PA,19073,43
MT,59901,43
WI,53566,43
MA,02305,43
GA,30081,43
SC,29716,43
IL,60069,43
WI,53081,43
MI,00000,43
MA,01850,43
IL,60048,43
IL,60017,43
NY,12181,43
CT,06037,43
GA,30338,43
NE,69301,43
UT,84047,43
LA,71113,43
UT,84095,43
MO,63385,43
ID,83687,43
MD,21228,43
MA,02062,43
CO,81212,43
FL,33860,43
CA,91706,42
PA,19114,42
CO,80229,42
WI,53082,42
FL,33617,42
IL,60440,42
MN,56345,42
MD,20703,42
TN,37172,42
MN,55317,42
WI,53406,42
GA,30271,42
GA,30269,42
PA,15147,42
PA,15601,42
UT,84663,42
WA,99362,42
PA,18370,42
NJ,08724,42
WV,25430,42
WI,54115,42
FL,33410,42
KY,42102,42
MA,02492,42
FL,34746,41
MA,01545,41
IL,61401,41
CA,92832,41
MS,39401,41
WI,54481,41
CT,06067,41
FL,33445,41
GA,31402,41
GA,30830,41
MD,21244,41
CA,94534,41
FL,32794,41
CA,91355,41
FL,32588,41
GA,30612,41
NC,28093,41
MO,65536,41
GA,31044,41
MN,55311,41
GA,30237,41
GA,31328,41
RI,02917,41
GA,30337,41
TX,77522,41
CO,80012,41
UT,84040,41
WI,53228,41
GA,31995,41
IL,60120,41
HI,96720,41
NY,12110,41
CT,06611,41
NY,10598,40
AK,99790,40
CO,81302,40
WA,98374,40
PA,18411,40
NY,13089,40
OH,45373,40
OH,43702,40
TX,79008,40
FL,32536,40
WI,54913-8424,40
HI,96857,40
CA,93065,40
MA,01923,40
MN,56201,40
WA,98020,40
IA,50266,40
OH,43302,40
WI,53965,40
PA,19120,40
AR,72190,40
OH,44691,40
IL,60434,40
IL,60439,40
NC,27835,40
WI,53045,40
ID,83206,40
PA,18042,40
NJ,08831,40
MI,49696,40
NY,14301,39
CO,80920,39
WI,54660,39
NJ,08050,39
CA,92648,39
MI,48640,39
TX,78640,39
IL,62002,39
MN,56362,39
OH,43552,39
CT,06410,39
NH,03110,39
WI,53717,39
IL,60181,39
NM,87144,39
MI,49464,39
KS,66048,39
TX,77572,39
CA,92374,39
VA,22116,39
NJ,07030,39
AL,36331,39
OH,45324,39
AL,36081,39
PA,19477,39
WI,54915,39
NJ,08332,39
OK,73503,39
OH,45750,39
CA,94070,39
AZ,85193,39
CA,93437,39
TX,77301,39
NJ,07922,38
PA,19440,38
PA,19486,38
PA,16001,38
TN,37167,38
WI,54303,38
MN,56537,38
FL,32830,38
IL,62220,38
MN,55746,38
OK,74005,38
MS,39232,38
CA,95241,38
NJ,07719,38
MA,01822,38
IL,61801,38
IN,47807,38
CA,91737,38
MA,01842,38
CA,91359,38
WA,98332,38
NJ,07981,38
RI,02841,38
MD,20792,38
MN,55425,37
WA,98383,37
MS,38803,37
PA,18704,37
WI,53005,37
IA,52732,37
FL,32721,37
MA,02184,37
MA,02458,37
SD,57701,37
KS,67401,37
IN,46546,37
NY,10543,37
WI,53052,37
MD,20912,37
FL,33172,37
MN,56258,37
VA,24084,37
MS,39046,37
CT,06040,37
CO,80216,37
SC,29803,37
OH,44136,37
WI,53211,37
RI,02852,37
NY,11801,37
FL,33408,37
NJ,07840,37
OK,73501,37
CA,90671,36
NJ,07724,36
MT,59625,36
PA,15086,36
OH,44141,36
MN,55330,36
GA,30214,36
OH,44129,36
GA,30252,36
MA,01960,36
NC,28111,36
NY,14150,36
CA,92589,36
NJ,08544,36
AL,35150,36
UT,84201,36
TX,77591,36
ID,83814,36
PA,15017,36
GA,30602,36
FL,32978,36
PA,18017,36
NJ,07065,36
WA,98002,36
NY,13827,36
IN,47274,36
WI,53092,36
NY,14830,36
IN,46168,36
OH,44011,36
FL,32085,35
WI,53713,35
CA,93534,35
VT,05641,35
IN,47130,35
GA,30077,35
NC,28533,35
WI,53818,35
NY,14420,35
NY,10701,35
GA,30515,35
MI,48085,35
CA,91311,35
ME,04074,35
ME,04092,35
MA,01434,35
ID,83404,35
MN,55355,35
HI,96859,35
CA,94553,35
MO,63901,35
MT,59405,35
MI,48708,35
IL,62401,35
OH,43123,35
WY,82070,35
WI,54220,35
CA,94501,35
MN,55122,35
CA,95618,35
MD,21060,35
MI,48118,35
IL,60430,35
TX,77834,35
SD,57078,35
PA,18466,35
OH,44720,35
IA,50158,35
TX,75087,35
MN,55413,35
MN,55424,35
GA,30366,35
ID,83544,35
WV,25728,34
ID,83303,34
ME,04098,34
NJ,07666,34
NJ,07748,34
NJ,07921,34
OH,44685,34
GA,30703,34
MO,63010,34
WI,53405-0000,34
OH,45390,34
NJ,08640,34
NY,11749,34
MA,02780,34
PA,15901,34
CA,93612,34
OH,44123,34
PA,15132,34
PA,19454,34
MI,48380,34
CO,80124,34
AZ,85381,34
NC,27332,34
CA,93502,34
FL,34947,34
TN,38502,34
OH,44145,34
MN,55912,34
UT,84106,34
MA,02048,34
NJ,08701,34
MA,01001,34
TX,77598,34
GA,30308,33
UT,84089,33
MN,56387,33
MA,01301,33
PA,15801,33
OH,45840,33
FL,32413,33
IN,46516,33
OH,43130,33
NJ,08601,33
KY,42141,33
NY,13505,33
FL,34772,33
MI,48174,33
VA,22191,33
WI,53132,33
AL,35630,33
TX,76085,33
OK,73140,33
NY,14586,33
ME,04901,33
KS,67210,33
CO,80910,33
DE,19720,33
FL,32701,33
WI,54235,33
MA,02153,33
OH,43040,33
GA,30112,33
WI,53901,33
IN,46142,33
MA,02767,33
WA,99216,33
NV,89703,33
FL,32815,33
MS,39074,33
FL,32907,33
TX,75165,33
WI,53066,33
PA,19034,33
GA,30040,33
TX,76309,32
MI,48230,32
CA,93401,32
MI,49202,32
WI,54703,32
CA,91305,32
GA,31792,32
OH,43067,32
WI,53158,32
MN,55387,32
CO,80123,32
OH,44035,32
VA,22199,32
FL,33034,32
CA,91407,32
NY,10962,32
IL,61834,32
SD,57106,32
IN,47562,32
MA,02090,32
MA,02741,32
AR,72745,32
OH,43050,32
NE,68113,32
NY,14456,32
IL,60115,32
IN,46124,32
CT,06033,32
GA,30121,32
