state,Zip,S&E,S&E-related,STEM Middle-skill
CA,92247,0,7,2
CA,92250,0,1,0
CA,92251,0,0,2
CA,92252,0,5,0
CA,92253,0,0,1
CA,92254,0,1,0
CA,92256,0,1,0
CA,92260,2,7,4
CA,92262,7,9,8
CA,92270,1,8,2
CA,92274,0,5,0
CA,92275,0,1,0
CA,92277,0,0,1
CA,92278,4,7,1
CA,92283,1,1,0
CA,92284,0,4,1
CA,92301,4,3,5
CA,92307,0,2,7
CA,92310,17,5,6
CA,92311,0,1,0
CA,92312,7,5,1
CA,92316,0,0,5
CA,92324,0,5,10
CA,92327,1,0,2
CA,92331,6,61,15
CA,92333,0,1,0
CA,92336,0,0,1
CA,92345,0,4,0
CA,92346,0,2,1
CA,92347,0,2,0
CA,92354,10,124,5
CA,92363,1,0,1
CA,92371,0,1,0
CA,92373,0,1,0
CA,92374,17,14,8
CA,92377,0,1,4
CA,92392,4,6,10
CA,92399,0,0,1
CA,92401,0,0,1
CA,92406,20,199,37
CA,92407,0,1,0
CA,92408,2,52,2
CA,92410,0,1,0
CA,92501,0,0,1
CA,92503,0,1,1
CA,92504,0,0,1
CA,92505,1,0,0
CA,92509,0,0,2
CA,92514,48,62,31
CA,92518,0,0,1
CA,92521,1,0,0
CA,92530,0,1,3
CA,92543,0,12,3
CA,92552,8,16,7
CA,92555,0,0,1
CA,92563,2,6,5
CA,92570,0,0,1
CA,92572,0,3,11
CA,92584,0,1,4
CA,92589,7,14,15
CA,92595,0,4,0
CA,92604,688,247,62
CA,92612,1,0,3
CA,92614,3,0,0
CA,92614-8589,1,0,0
CA,92618,2,1,0
CA,92627,94,55,12
CA,92630,43,14,7
CA,92646,0,0,1
CA,92648,23,8,8
CA,92652,0,1,1
CA,92653,1,4,2
CA,92656,40,5,1
CA,92657,0,0,1
CA,92660,2,0,0
CA,92662,102,7,4
CA,92663,0,1,0
CA,92673,2,0,0
CA,92674,8,9,4
CA,92676,0,0,1
CA,92677,2,0,4
CA,92685,2,4,4
CA,92688,2,3,2
CA,92692,3,10,2
CA,92693,4,3,0
CA,92702,89,53,25
CA,92704,0,0,2
CA,92705,1,0,0
CA,92707,2,0,0
CA,92708,3,9,2
CA,92780,0,2,1
CA,92781,9,3,9
CA,92801,0,0,2
CA,92805,75,81,27
CA,92806,0,0,3
CA,92807,0,2,2
CA,92817,2,3,0
CA,92821,24,3,5
CA,92831,0,0,2
CA,92832,16,10,15
CA,92834,1,0,0
CA,92835,0,0,1
CA,92841,14,4,8
CA,92860,5,0,1
CA,92864,31,22,8
CA,92865,0,0,1
CA,92868,1,2,1
CA,92870,5,1,0
CA,92878,20,20,18
CA,92886,5,5,2
CA,93003,14,24,6
CA,93004,0,1,0
CA,93010,28,7,15
CA,93013,5,4,4
CA,93016,1,0,0
CA,93020,0,1,0
CA,93032,4,17,29
CA,93041,1,1,0
CA,93044,10,3,6
CA,93060,0,1,18
CA,93065,19,8,13
CA,93101,1,0,0
CA,93105,0,0,1
CA,93117,35,6,4
CA,93130,62,60,10
CA,93206,0,0,1
CA,93210,0,2,1
CA,93215,0,2,1
CA,93216,1,4,0
CA,93221,1,0,0
CA,93225,0,1,0
CA,93227,0,1,0
CA,93230,0,2,5
CA,93235,0,0,1
CA,93240,1,0,0
CA,93245,0,1,6
CA,93246,0,0,1
CA,93256,0,2,0
CA,93257,1,4,6
CA,93262,0,1,0
CA,93263,4,3,2
CA,93268,0,2,0
CA,93274,0,5,9
CA,93277,0,1,0
CA,93278,2,0,0
CA,93280,0,1,0
CA,93290,8,4,7
CA,93301,2,6,2
CA,93302,24,51,29
CA,93305,0,0,1
CA,93306,0,0,1
CA,93307,0,0,1
CA,93309,1,0,1
CA,93311,1,0,0
CA,93312,0,1,1
CA,93313,0,0,1
CA,93401,17,7,8
CA,93420,0,0,1
CA,93422,0,4,1
CA,93427,1,0,1
CA,93437,31,4,4
CA,93438,6,3,1
CA,93441,0,0,1
CA,93442,0,0,1
CA,93444,0,1,0
CA,93446,2,1,3
CA,93449,0,3,2
CA,93451,0,1,0
CA,93452,0,0,1
CA,93457,16,64,8
CA,93458,0,1,0
CA,93463,0,1,1
CA,93465,0,2,0
CA,93502,13,4,17
CA,93514,1,3,0
CA,93517,1,2,0
CA,93523,3,0,0
CA,93524,19,5,8
CA,93534,6,25,4
CA,93546,0,2,1
CA,93550,89,12,16
CA,93555,35,5,5
CA,93556,12,11,6
CA,93561,1,4,2
CA,93596,0,1,1
CA,93604,0,0,1
CA,93610,0,1,0
CA,93612,2,30,2
CA,93618,0,2,3
CA,93620,0,1,0
CA,93622,0,1,7
CA,93625,0,3,5
CA,93630,0,1,1
CA,93631,0,2,0
CA,93635,0,21,0
CA,93637,0,5,7
CA,93640,0,0,1
CA,93643,1,0,0
CA,93644,0,1,0
CA,93646,0,1,0
CA,93648,2,4,2
CA,93651,0,1,0
CA,93654,0,4,1
CA,93657,0,2,6
CA,93662,0,1,1
CA,93704,0,0,1
CA,93706,0,0,1
CA,93711,1,1,0
CA,93720,0,1,0
CA,93721,0,0,5
CA,93725,0,0,1
CA,93744,38,216,42
CA,93901,0,0,1
CA,93902,0,20,8
CA,93922,0,1,0
CA,93926,0,0,2
CA,93928,2,0,0
CA,93930,0,16,0
CA,93933,0,3,1
CA,93940,40,20,7
CA,93955,67,2,2
CA,93960,0,0,1
CA,94002,57,13,2
CA,94005,6,0,1
CA,94010,9,38,4
CA,94014,0,1,1
CA,94017,0,0,1
CA,94019,0,0,4
CA,94023,2,6,0
CA,94025,188,34,2
CA,94028,0,0,1
CA,94030,3,0,1
CA,94035,15,2,2
CA,94039,319,70,13
CA,94043,1,0,0
CA,94061,243,59,12
CA,94063,0,1,4
CA,94066,104,28,5
CA,94070,21,14,4
CA,94080,119,42,6
CA,94085,3,0,0
CA,94085-4521,5,1,0
CA,94086,373,60,20
CA,94089,2,0,1
CA,94102,2,1,0
CA,94103,1631,656,94
CA,94104,2,0,0
CA,94105,1,0,1
CA,94108,0,1,1
CA,94110,1,0,0
CA,94111,2,0,1
CA,94112,0,2,0
CA,94115,0,2,0
CA,94128,0,0,1
CA,94133,2,0,0
CA,94250,0,0,1
CA,94301,301,122,7
CA,94303,1,0,0
CA,94304,0,1,0
CA,94305,45,43,9
CA,94403,98,31,11
CA,94404,127,15,1
CA,94501,19,7,9
CA,94503,0,1,3
CA,94510,6,3,2
CA,94512,0,0,2
CA,94513,0,2,3
CA,94514,1,0,0
CA,94518,20,16,18
CA,94520,0,0,1
CA,94523,6,3,1
CA,94525,1,0,2
CA,94526,1,0,0
CA,94530,1,1,2
CA,94531,0,52,6
CA,94533,0,0,1
CA,94534,14,12,15
CA,94535,4,3,2
CA,94536,61,35,43
CA,94538,3,2,2
CA,94540,22,13,28
CA,94545,1,1,1
CA,94546,1,45,0
