state,Zip,1.0,2.0,3.0,4.0,5.0
CA,91770,0,0,3,8,0
CA,91773,0,0,3,10,0
CA,91780,0,0,0,0,1
CA,91786,0,0,9,3,0
CA,91789,0,0,4,0,0
CA,91790,0,0,0,0,1
CA,91793,0,1,3,5,0
CA,91801,0,0,4,0,1
CA,91803,0,1,2,2,0
CA,91902,0,0,3,2,0
CA,91910,0,3,16,20,6
CA,91932,0,0,2,3,0
CA,91942,0,0,0,1,0
CA,91943,0,1,21,30,5
CA,91945,0,0,1,0,1
CA,91951,0,2,4,0,0
CA,91979,0,2,2,0,2
CA,92008,0,0,57,75,14
CA,92010,0,0,1,4,0
CA,92011,0,0,0,0,1
CA,92014,0,0,4,0,0
CA,92019,0,1,12,3,1
CA,92024,0,0,10,13,7
CA,92025,0,0,1,0,0
CA,92033,0,3,10,8,4
CA,92038,0,0,20,63,67
CA,92040,0,1,0,3,0
CA,92054,0,3,15,8,0
CA,92055,0,0,11,13,0
CA,92056,0,1,0,1,0
CA,92065,0,1,2,0,0
CA,92071,0,0,0,1,0
CA,92072,0,2,3,1,0
CA,92074,0,2,12,6,0
CA,92075,0,0,3,1,0
CA,92079,0,3,9,8,4
CA,92081,0,0,1,0,0
CA,92085,0,1,14,7,5
CA,92088,0,0,0,3,0
CA,92101,0,0,0,1,0
CA,92102,0,0,1,1,0
CA,92105,0,0,0,0,1
CA,92106,0,0,1,0,0
CA,92108,0,12,596,1286,197
CA,92110,0,0,0,3,0
CA,92111,0,0,0,1,0
CA,92113,0,0,3,0,0
CA,92120,0,0,0,1,0
CA,92121,0,0,5,3,1
CA,92121-4779,0,0,0,2,0
CA,92123,0,0,4,3,0
CA,92124,0,0,0,3,0
CA,92127,0,0,1,1,0
CA,92128,0,0,2,2,0
CA,92131,0,0,0,7,0
CA,92135,0,0,1,1,0
CA,92136,0,0,0,1,0
CA,92143,0,0,1,1,0
CA,92154,0,0,1,1,0
CA,92161,0,0,0,0,1
CA,92178,0,0,7,8,2
CA,92201,0,0,12,4,1
CA,92203,0,0,2,0,0
CA,92210,0,0,2,1,0
CA,92220,0,0,1,0,0
CA,92223,0,0,11,0,0
CA,92225,0,0,2,0,0
CA,92227,0,0,2,0,0
CA,92230,0,0,1,0,0
CA,92231,0,0,4,0,0
CA,92232,0,0,0,2,0
CA,92235,0,0,2,2,0
CA,92236,0,0,5,1,1
CA,92240,0,0,1,0,0
CA,92243,0,0,1,0,0
CA,92244,0,0,10,6,3
CA,92247,0,0,7,1,1
CA,92250,0,0,1,0,0
CA,92251,0,0,2,0,0
CA,92252,0,0,1,2,2
CA,92253,0,0,1,0,0
CA,92254,0,0,1,0,0
CA,92256,0,0,1,0,0
CA,92260,0,0,6,5,2
CA,92262,0,1,13,8,1
CA,92270,0,0,7,2,2
CA,92274,0,0,5,0,0
CA,92275,0,0,1,0,0
